"State","Region Name","ASGC 2008 Code"
"Vic","Melbourne (C) - Inner",205054601
"Vic","Melbourne (C) - S'bank-D'lands",205054605
"Vic","Melbourne (C) - Remainder",205054608
"Vic","Port Phillip (C) - St Kilda",205055901
"Vic","Port Phillip (C) - West",205055902
"Vic","Stonnington (C) - Prahran",205056351
"Vic","Yarra (C) - North",205057351
"Vic","Yarra (C) - Richmond",205057352
"Vic","Brimbank (C) - Keilor",205101181
"Vic","Brimbank (C) - Sunshine",205101182
"Vic","Hobsons Bay (C) - Altona",205103111
"Vic","Hobsons Bay (C) - Williamstown",205103112
"Vic","Maribyrnong (C)",205104330
"Vic","Moonee Valley (C) - Essendon",205105063
"Vic","Moonee Valley (C) - West",205105065
"Vic","Melton (S) - East",205204651
"Vic","Melton (S) Bal",205204654
"Vic","Wyndham (C) - North",205207261
"Vic","Wyndham (C) - South",205207264
"Vic","Wyndham (C) - West",205207267
"Vic","Moreland (C) - Brunswick",205255251
"Vic","Moreland (C) - Coburg",205255252
"Vic","Moreland (C) - North",205255253
"Vic","Banyule (C) - Heidelberg",205300661
"Vic","Banyule (C) - North",205300662
"Vic","Darebin (C) - Northcote",205301891
"Vic","Darebin (C) - Preston",205301892
"Vic","Hume (C) - Broadmeadows",205353271
"Vic","Hume (C) - Craigieburn",205353274
"Vic","Hume (C) - Sunbury",205353275
"Vic","Nillumbik (S) - South",205405713
"Vic","Nillumbik (S) - South-West",205405715
"Vic","Nillumbik (S) Bal",205405718
"Vic","Whittlesea (C) - North",205407071
"Vic","Whittlesea (C) - South-East",205407075
"Vic","Whittlesea (C) - South-West",205407076
"Vic","Boroondara (C) - Camberwell N.",205451111
"Vic","Boroondara (C) - Camberwell S.",205451112
"Vic","Boroondara (C) - Hawthorn",205451113
"Vic","Boroondara (C) - Kew",205451114
"Vic","Manningham (C) - East",205504211
"Vic","Manningham (C) - West",205504214
"Vic","Monash (C) - South-West",205504971
"Vic","Monash (C) - Waverley East",205504974
"Vic","Monash (C) - Waverley West",205504975
"Vic","Whitehorse (C) - Box Hill",205506981
"Vic","Whitehorse (C) - Nunawading E.",205506984
"Vic","Whitehorse (C) - Nunawading W.",205506985
"Vic","Knox (C) - North-East",205553672
"Vic","Knox (C) - North-West",205553673
"Vic","Knox (C) - South",205553674
"Vic","Maroondah (C) - Croydon",205554411
"Vic","Maroondah (C) - Ringwood",205554412
"Vic","Yarra Ranges (S) - Central",205607451
"Vic","Yarra Ranges (S) - Dandenongs",205607452
"Vic","Yarra Ranges (S) - Lilydale",205607453
"Vic","Yarra Ranges (S) - North",205607454
"Vic","Yarra Ranges (S) - Seville",205607456
"Vic","Bayside (C) - Brighton",205650911
"Vic","Bayside (C) - South",205650912
"Vic","Glen Eira (C) - Caulfield",205652311
"Vic","Glen Eira (C) - South",205652314
"Vic","Kingston (C) - North",205653431
"Vic","Kingston (C) - South",205653434
"Vic","Stonnington (C) - Malvern",205656352
"Vic","Gr. Dandenong (C) - Dandenong",205752671
"Vic","Gr. Dandenong (C) Bal",205752674
"Vic","Cardinia (S) - North",205801452
"Vic","Cardinia (S) - Pakenham",205801453
"Vic","Cardinia (S) - South",205801454
"Vic","Casey (C) - Berwick",205801612
"Vic","Casey (C) - Cranbourne",205801613
"Vic","Casey (C) - Hallam",205801616
"Vic","Casey (C) - South",205801618
"Vic","Frankston (C) - East",205852171
"Vic","Frankston (C) - West",205852174
"Vic","Mornington P'sula (S) - East",205905341
"Vic","Mornington P'sula (S) - South",205905344
"Vic","Mornington P'sula (S) - West",205905345
"Vic","Bellarine - Inner",210052751
"Vic","Corio - Inner",210052752
"Vic","Geelong",210052753
"Vic","Geelong West",210052754
"Vic","Newtown",210052755
"Vic","South Barwon - Inner",210052756
"Vic","Greater Geelong (C) - Pt B",210102757
"Vic","Queenscliffe (B)",210106080
"Vic","Surf Coast (S) - East",210106493
"Vic","Surf Coast (S) - West",210106495
"Vic","Colac-Otway (S) - Colac",210151751
"Vic","Colac-Otway (S) - North",210151754
"Vic","Colac-Otway (S) - South",210151755
"Vic","Golden Plains (S) - North-West",210152491
"Vic","Golden Plains (S) - South-East",210152492
"Vic","Greater Geelong (C) - Pt C",210152758
"Vic","Warrnambool (C)",215016730
"Vic","Corangamite (S) - North",215051831
"Vic","Corangamite (S) - South",215051832
"Vic","Moyne (S) - North-East",215055491
"Vic","Moyne (S) - North-West",215055493
"Vic","Moyne (S) - South",215055496
"Vic","Glenelg (S) - Heywood",215102411
"Vic","Glenelg (S) - North",215102412
"Vic","Glenelg (S) - Portland",215102413
"Vic","S. Grampians (S) - Hamilton",215106261
"Vic","S. Grampians (S) - Wannon",215106264
"Vic","S. Grampians (S) Bal",215106265
"Vic","Ballarat (C) - Central",220050571
"Vic","Ballarat (C) - Inner North",220050572
"Vic","Ballarat (C) - North",220050573
"Vic","Ballarat (C) - South",220050574
"Vic","Hepburn (S) - East",220102911
"Vic","Hepburn (S) - West",220102912
"Vic","Moorabool (S) - Bacchus Marsh",220105151
"Vic","Moorabool (S) - Ballan",220105154
"Vic","Moorabool (S) - West",220105155
"Vic","Ararat (RC)",220150260
"Vic","Pyrenees (S) - North",220155991
"Vic","Pyrenees (S) - South",220155994
"Vic","Horsham (RC) - Central",225053191
"Vic","Horsham (RC) Bal",225053194
"Vic","N. Grampians (S) - St Arnaud",225055811
"Vic","N. Grampians (S) - Stawell",225055814
"Vic","West Wimmera (S)",225056890
"Vic","Hindmarsh (S)",225102980
"Vic","Yarriambiack (S) - North",225107631
"Vic","Yarriambiack (S) - South",225107632
"Vic","Mildura (RC) - Pt A",230054781
"Vic","Buloke (S) - North",230101271
"Vic","Buloke (S) - South",230101272
"Vic","Mildura (RC) - Pt B",230104782
"Vic","Gannawarra (S)",230152250
"Vic","Swan Hill (RC) - Central",230156611
"Vic","Swan Hill (RC) - Robinvale",230156614
"Vic","Swan Hill (RC) Bal",230156616
"Vic","Gr. Bendigo (C) - Central",235052621
"Vic","Gr. Bendigo (C) - Eaglehawk",235052622
"Vic","Gr. Bendigo (C) - Inner East",235052623
"Vic","Gr. Bendigo (C) - Inner North",235052624
"Vic","Gr. Bendigo (C) - Inner West",235052625
"Vic","Gr. Bendigo (C) - S'saye",235052626
"Vic","C. Goldfields (S) - M'borough",235101671
"Vic","C. Goldfields (S) Bal",235101674
"Vic","Gr. Bendigo (C) - Pt B",235102628
"Vic","Loddon (S) - North",235103943
"Vic","Loddon (S) - South",235103945
"Vic","Mount Alexander (S) - C'maine",235105431
"Vic","Mount Alexander (S) Bal",235105434
"Vic","Macedon Ranges (S) - Kyneton",235204131
"Vic","Macedon Ranges (S) - Romsey",235204134
"Vic","Macedon Ranges (S) Bal",235204135
"Vic","Gr. Shepparton (C) - Pt A",240052831
"Vic","Campaspe (S) - Echuca",240101371
"Vic","Campaspe (S) - Kyabram",240101374
"Vic","Campaspe (S) - Rochester",240101375
"Vic","Campaspe (S) - South",240101376
"Vic","Gr. Shepparton (C) - Pt B East",240102834
"Vic","Gr. Shepparton (C) - Pt B West",240102835
"Vic","Moira (S) - East",240104901
"Vic","Moira (S) - West",240104904
"Vic","Benalla (RC) - Benalla",240151011
"Vic","Benalla (RC) Bal",240151014
"Vic","Mansfield (S)",240154250
"Vic","Strathbogie (S)",240156430
"Vic","Mount Buller Alpine Resort",240158249
"Vic","Mitchell (S) - North",240204851
"Vic","Mitchell (S) - South",240204854
"Vic","Murrindindi (S) - East",240205621
"Vic","Murrindindi (S) - West",240205622
"Vic","Indigo (S) - Pt A",245053351
"Vic","Towong (S) - Pt A",245056671
"Vic","Wodonga (RC)",245057170
"Vic","Indigo (S) - Pt B",245103352
"Vic","Wangaratta (RC) - Central",245106701
"Vic","Wangaratta (RC) - North",245106704
"Vic","Wangaratta (RC) - South",245106705
"Vic","Alpine (S) - East",245150111
"Vic","Alpine (S) - West",245150112
"Vic","Towong (S) - Pt B",245156672
"Vic","Falls Creek Alpine Resort",245158109
"Vic","Mount Hotham Alpine Resort",245158309
"Vic","E. Gippsland (S) - Bairnsdale",250052111
"Vic","E. Gippsland (S) - Orbost",250052113
"Vic","E. Gippsland (S) - South-West",250052115
"Vic","E. Gippsland (S) Bal",250052117
"Vic","Wellington (S) - Alberton",250156811
"Vic","Wellington (S) - Avon",250156812
"Vic","Wellington (S) - Maffra",250156813
"Vic","Wellington (S) - Rosedale",250156814
"Vic","Wellington (S) - Sale",250156815
"Vic","Baw Baw (S) - Pt A",255050831
"Vic","Latrobe (C) - Moe",255053811
"Vic","Latrobe (C) - Morwell",255053814
"Vic","Latrobe (C) - Traralgon",255053815
"Vic","Latrobe (C) Bal",255053818
"Vic","Baw Baw (S) - Pt B East",255100834
"Vic","Baw Baw (S) - Pt B West",255100835
"Vic","Yarra Ranges (S) - Pt B",255107458
"Vic","Bass Coast (S) - Phillip Is.",255200741
"Vic","Bass Coast (S) Bal",255200744
"Vic","South Gippsland (S) - Central",255206171
"Vic","South Gippsland (S) - East",255206174
"Vic","South Gippsland (S) - West",255206175
"Vic","Bass Strait Islands",255208649
